#At time x process y state arr w total z remain y wait k
At time 18 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 18 process 3 resumed arr 18 total 28 remain 28 wait 0
At time 18 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 18 process 3 resumed arr 18 total 28 remain 28 wait 0
At time 18 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 18 process 3 resumed arr 18 total 28 remain 28 wait 0
At time 18 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 18 process 3 resumed arr 18 total 28 remain 28 wait 0
At time 18 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 18 process 3 resumed arr 18 total 28 remain 28 wait 0
At time 18 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 18 process 3 resumed arr 18 total 28 remain 28 wait 0
At time 18 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 18 process 3 resumed arr 18 total 28 remain 28 wait 0
At time 19 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 19 process 4 started arr 19 total 3 remain 3 wait 9
At time 19 process 4 stopped arr 19 total 3 remain 3 wait 9
At time 19 process 5 started arr 19 total 1 remain 1 wait 21
At time 19 process 5 stopped arr 19 total 1 remain 1 wait 21
At time 19 process 3 resumed arr 18 total 28 remain 28 wait 24
At time 19 process 3 stopped arr 18 total 28 remain 28 wait 24
At time 19 process 4 resumed arr 19 total 3 remain 3 wait 33
At time 19 process 4 stopped arr 19 total 3 remain 3 wait 33
At time 19 process 5 resumed arr 19 total 1 remain 1 wait 45
At time 19 process 5 stopped arr 19 total 1 remain 1 wait 45
At time 19 process 3 resumed arr 18 total 28 remain 28 wait 48
At time 19 process 3 stopped arr 18 total 28 remain 28 wait 48
At time 19 process 4 resumed arr 19 total 3 remain 3 wait 57
At time 19 process 4 stopped arr 19 total 3 remain 3 wait 57
At time 19 process 5 resumed arr 19 total 1 remain 1 wait 69
At time 20 process 5 finished arr 19 total 1 remain 0 wait 69 TA 1 WTA 1.00
At time 20 process 3 resumed arr 18 total 28 remain 28 wait 65
At time 20 process 3 stopped arr 18 total 28 remain 28 wait 65
At time 20 process 4 resumed arr 19 total 3 remain 3 wait 74
At time 20 process 4 stopped arr 19 total 3 remain 3 wait 74
At time 20 process 3 resumed arr 18 total 28 remain 28 wait 77
At time 20 process 3 stopped arr 18 total 28 remain 28 wait 77
At time 20 process 4 resumed arr 19 total 3 remain 3 wait 86
At time 20 process 4 stopped arr 19 total 3 remain 3 wait 86
At time 20 process 3 resumed arr 18 total 28 remain 28 wait 89
At time 20 process 3 stopped arr 18 total 28 remain 28 wait 89
At time 20 process 4 resumed arr 19 total 3 remain 3 wait 98
At time 20 process 4 stopped arr 19 total 3 remain 3 wait 98
At time 20 process 3 resumed arr 18 total 28 remain 28 wait 101
At time 20 process 3 stopped arr 18 total 28 remain 28 wait 101
At time 20 process 4 resumed arr 19 total 3 remain 3 wait 110
At time 20 process 4 stopped arr 19 total 3 remain 3 wait 110
At time 20 process 3 resumed arr 18 total 28 remain 28 wait 113
At time 21 process 3 stopped arr 18 total 28 remain 28 wait 113
At time 21 process 4 resumed arr 19 total 3 remain 3 wait 123
At time 21 process 4 stopped arr 19 total 3 remain 3 wait 123
At time 21 process 3 resumed arr 18 total 28 remain 28 wait 125
At time 21 process 3 stopped arr 18 total 28 remain 28 wait 125
At time 21 process 4 resumed arr 19 total 3 remain 3 wait 135
At time 21 process 4 stopped arr 19 total 3 remain 3 wait 135
At time 21 process 3 resumed arr 18 total 28 remain 28 wait 137
At time 21 process 3 stopped arr 18 total 28 remain 28 wait 137
At time 21 process 4 resumed arr 19 total 3 remain 3 wait 147
At time 21 process 4 stopped arr 19 total 3 remain 3 wait 147
At time 21 process 3 resumed arr 18 total 28 remain 28 wait 149
At time 21 process 3 stopped arr 18 total 28 remain 28 wait 149
At time 21 process 4 resumed arr 19 total 3 remain 3 wait 159
At time 21 process 4 stopped arr 19 total 3 remain 3 wait 159
At time 21 process 3 resumed arr 18 total 28 remain 28 wait 161
At time 22 process 3 stopped arr 18 total 28 remain 28 wait 161
At time 22 process 4 resumed arr 19 total 3 remain 3 wait 172
At time 22 process 4 finished arr 19 total 3 remain 0 wait 172 TA 3 WTA 1.00
At time 22 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 22 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 22 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 22 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 22 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 22 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 22 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 22 process 3 stopped arr 18 total 28 remain 28 wait 162
